Id,Salary,Gender,Age,City,Education,YearsOfExperience,Remote,Department,Position
672922,146520.0,female,39,Moscow,Bachelor,8,No,Finance,Financial Analyst
697107,193920.0,male,25,Moscow,School,5,No,Finance,Senior Accountant
556553,78959.99999999999,male,46,Moscow,School,14,No,IT,Support Specialist
467604,77040.0,female,44,Moscow,School,23,No,HR,HR Assistant
360415,141600.0,female,50,Moscow,Collage,13,No,HR,HR Specialist
548239,78000.0,male,21,Moscow,Collage,0,No,Marketing,Marketing Assistant
143183,81568.84156729131,male,43,Saint-Petersburg,Bachelor,18,Yes,IT,Support Specialist
624283,71120.0,female,51,Krasnodar,Specialist,21,No,Operations,Operations Coordinator
618019,105000.0,male,38,Moscow,Bachelor,15,No,IT,Support Specialist
417716,54320.0,male,37,Chelyabinsk,School,15,Yes,IT,Support Specialist
495774,54603.93526405452,female,24,Saint-Petersburg,School,0,Yes,IT,Support Specialist
616022,81600.0,male,18,Moscow,School,0,No,Finance,Accountant
687895,101118.39863713799,female,52,Saint-Petersburg,Bachelor,10,No,Marketing,Digital Marketing Specialist
822540,184902.21465076657,female,43,Saint-Petersburg,Collage,21,No,Marketing,Marketing Manager
803979,156492.7597955707,female,53,Saint-Petersburg,Bachelor,22,No,Operations,Process Analyst
531609,82720.0,male,57,Novosibirsk,Collage,8,No,Finance,Financial Analyst
143496,54880.0,male,32,Ufa,Collage,10,No,IT,Support Specialist
203778,81120.0,female,58,Moscow,School,23,No,Marketing,Marketing Assistant
307981,108800.00000000001,female,28,Novosibirsk,School,4,No,IT,Middle Software Engineer
615297,53737.20613287905,male,18,Saint-Petersburg,School,0,No,HR,HR Assistant
387764,55120.00000000001,male,36,Kazan,School,12,No,Marketing,Marketing Assistant
538273,89760.0,male,22,Moscow,Collage,0,No,Finance,Accountant
460799,126000.0,male,38,Moscow,Bachelor,6,Yes,Marketing,Digital Marketing Specialist
410671,199680.0,female,40,Moscow,Collage,15,No,Finance,Senior Accountant
193967,93240.0,male,36,Moscow,Specialist,2,No,Operations,Operations Coordinator
343870,135960.0,female,53,Moscow,School,19,No,IT,Junior Software Engineer
596386,84000.0,female,44,Moscow,School,19,No,Operations,Operations Coordinator
205196,138840.0,male,59,Moscow,Collage,4,Yes,Operations,Process Analyst
185627,292800.0,male,39,Moscow,Bachelor,14,No,IT,Senior Software Engineer
622958,205440.0,female,39,Moscow,Bachelor,2,No,IT,Middle Software Engineer
975587,89224.94889267461,female,41,Saint-Petersburg,School,15,Yes,Finance,Accountant
130629,74120.00000000001,female,29,Kazan,Collage,4,No,Finance,Accountant
540130,124800.0,male,58,Moscow,Bachelor,7,No,HR,HR Specialist
456894,73238.61158432708,female,46,Saint-Petersburg,Collage,22,No,Marketing,Marketing Assistant
242573,82400.0,female,43,Krasnodar,Collage,17,Yes,HR,HR Specialist
449753,54880.0,male,61,Kazan,Collage,10,No,Operations,Operations Coordinator
654074,158707.734241908,male,33,Saint-Petersburg,Collage,12,No,Marketing,Marketing Manager
302581,87360.0,male,31,Moscow,Collage,10,No,Marketing,Marketing Assistant
362891,290400.0,male,50,Moscow,Bachelor,17,No,IT,Senior Software Engineer
763112,273600.0,male,44,Moscow,Bachelor,13,No,IT,Senior Software Engineer
294124,56560.0,male,39,Kazan,School,4,No,Operations,Operations Coordinator
857353,130680.0,female,46,Moscow,School,19,No,IT,Junior Software Engineer
708550,99577.5468483816,male,43,Saint-Petersburg,Collage,7,Yes,Finance,Financial Analyst
474570,81120.0,female,35,Moscow,Collage,5,No,Marketing,Marketing Assistant
907224,65100.9880749574,male,35,Saint-Petersburg,Specialist,6,Yes,Marketing,Marketing Assistant
562994,89040.0,male,50,Moscow,Collage,4,Yes,Operations,Operations Coordinator
342774,88139.99999999999,female,47,Moscow,School,21,No,Marketing,Marketing Assistant
623034,220799.99999999997,female,57,Moscow,Magistracy,1,No,Finance,Senior Accountant
338941,211200.0,male,57,Moscow,Collage,20,No,Marketing,Marketing Manager
946719,88800.00000000001,female,49,Ekaterinburg,Collage,20,No,HR,HR Specialist
993364,96800.00000000001,male,39,Ekaterinburg,School,12,No,IT,Junior Software Engineer
203204,101199.99999999999,female,39,Kazan,Magistracy,1,No,IT,Junior Software Engineer
858950,57600.0,male,31,Chelyabinsk,Specialist,5,No,HR,HR Assistant
290177,152880.0,female,38,Moscow,School,9,No,Operations,Process Analyst
944843,81480.0,female,37,Moscow,Bachelor,6,Yes,Operations,Operations Coordinator
568949,99840.0,female,48,Moscow,Collage,28,No,Marketing,Marketing Assistant
334841,141240.0,male,24,Moscow,Bachelor,2,No,Finance,Financial Analyst
899362,112200.0,male,42,Moscow,Collage,18,No,Finance,Accountant
482816,46080.0,male,20,Novosibirsk,Collage,0,Yes,HR,HR Assistant
335624,74880.0,female,47,Moscow,Collage,11,No,HR,HR Assistant
390690,78959.99999999999,male,47,Moscow,Collage,8,No,IT,Support Specialist
852958,176640.00000000003,female,24,Moscow,Bachelor,1,No,Finance,Senior Accountant
103541,108120.0,female,33,Moscow,Collage,11,Yes,Finance,Accountant
280836,134400.0,male,30,Chelyabinsk,Bachelor,8,No,Marketing,Marketing Manager
898275,86520.0,female,44,Moscow,Bachelor,7,No,IT,Support Specialist
454049,93240.0,male,47,Moscow,School,15,Yes,IT,Support Specialist
161466,240720.0,female,49,Moscow,Specialist,20,No,Operations,Operations Manager
150119,89600.00000000001,female,52,Ufa,Bachelor,5,No,Marketing,Digital Marketing Specialist
209797,142914.00340715502,male,23,Saint-Petersburg,Bachelor,0,No,HR,Senior HR Manager
233000,49920.0,male,23,Krasnodar,Collage,1,No,Marketing,Marketing Assistant
339916,78780.0,female,30,Moscow,Specialist,5,No,Marketing,Marketing Assistant
850070,109111.56729131175,female,28,Saint-Petersburg,Magistracy,0,No,Finance,Financial Analyst
400044,77520.0,female,32,Ekaterinburg,Collage,10,No,Finance,Accountant
288465,117519.99999999999,male,44,Nizhniy Novgorod,Bachelor,13,Yes,Operations,Process Analyst
529857,194147.32538330494,male,43,Saint-Petersburg,Postgraduate,6,No,Finance,Senior Accountant
669792,211867.12095400342,male,41,Saint-Petersburg,School,19,No,IT,Senior Software Engineer
971258,192000.0,female,28,Moscow,Magistracy,0,No,IT,Middle Software Engineer
141553,82720.0,female,44,Krasnoyarsk,School,7,No,Finance,Financial Analyst
121042,146400.0,male,38,Moscow,Magistracy,13,No,Marketing,Digital Marketing Specialist
163587,209280.0,male,43,Moscow,Collage,21,No,Finance,Senior Accountant
160808,143360.00000000003,female,42,Nizhniy Novgorod,Bachelor,6,No,Finance,Senior Accountant
472964,336000.0,female,53,Moscow,Magistracy,22,Yes,IT,Senior Software Engineer
961549,135680.0,male,34,Ekaterinburg,Collage,4,Yes,Marketing,Marketing Manager
247347,152544.32708688246,female,39,Saint-Petersburg,Bachelor,7,No,Marketing,Marketing Manager
706379,134640.0,female,34,Moscow,Bachelor,1,No,Finance,Financial Analyst
743062,126719.99999999999,female,31,Moscow,Collage,2,Yes,IT,Junior Software Engineer
697707,85800.0,female,31,Moscow,Bachelor,8,Yes,Marketing,Marketing Assistant
413121,72760.00000000001,male,44,Kazan,Bachelor,2,No,Finance,Accountant
980128,145200.0,female,42,Moscow,Bachelor,12,Yes,IT,Junior Software Engineer
412244,83200.00000000001,male,54,Krasnoyarsk,Collage,5,No,Marketing,Digital Marketing Specialist
393140,213793.1856899489,male,49,Saint-Petersburg,Bachelor,12,No,IT,Senior Software Engineer
471290,114240.0,female,35,Moscow,Collage,15,No,Finance,Accountant
843130,193199.99999999997,female,41,Moscow,Bachelor,17,Yes,HR,Senior HR Manager
690393,116480.00000000001,female,27,Ufa,Collage,2,Yes,IT,Middle Software Engineer
320425,146520.0,male,51,Moscow,Bachelor,10,No,IT,Junior Software Engineer
387075,72800.00000000001,female,39,Ekaterinburg,Collage,1,No,HR,HR Specialist
913343,58359.761499148204,female,44,Saint-Petersburg,School,4,No,HR,HR Assistant
607716,66960.0,male,48,Moscow,Collage,0,No,HR,HR Assistant
274188,142080.00000000003,male,39,Kazan,School,17,No,IT,Middle Software Engineer
998652,172575.4003407155,female,39,Saint-Petersburg,Specialist,12,No,Finance,Senior Accountant
174173,95680.00000000001,female,42,Krasnoyarsk,Bachelor,2,Yes,Operations,Process Analyst
919388,56560.0,female,44,Krasnodar,Bachelor,7,Yes,IT,Support Specialist
937594,49440.00000000001,male,48,Ekaterinburg,Collage,9,No,HR,HR Assistant
327689,197760.0,female,38,Moscow,Bachelor,13,No,Finance,Senior Accountant
356006,110080.00000000001,female,41,Nizhniy Novgorod,Collage,0,No,IT,Middle Software Engineer
553198,95920.00000000001,female,37,Ufa,School,13,No,IT,Junior Software Engineer
209398,213120.0,female,44,Moscow,Bachelor,14,No,Finance,Senior Accountant
813288,99960.0,female,30,Moscow,Collage,6,No,Finance,Accountant
358662,70560.0,male,38,Moscow,School,2,No,HR,HR Assistant
449432,129280.00000000001,female,20,Chelyabinsk,School,2,No,IT,Middle Software Engineer
912137,67123.35604770016,female,28,Saint-Petersburg,School,0,No,Finance,Accountant
221438,92400.00000000001,female,50,Novosibirsk,Collage,15,No,IT,Junior Software Engineer
146710,67760.0,female,44,Ekaterinburg,Bachelor,18,No,IT,Support Specialist
968435,122400.0,female,28,Moscow,Collage,2,No,HR,HR Specialist
618201,83200.00000000001,female,47,Nizhniy Novgorod,Magistracy,0,Yes,Marketing,Digital Marketing Specialist
364023,69420.0,male,42,Moscow,School,7,No,Marketing,Marketing Assistant
400972,73440.0,female,28,Moscow,Collage,8,Yes,HR,HR Assistant
123533,195840.0,male,53,Moscow,Collage,15,No,IT,Middle Software Engineer
124811,141240.0,female,33,Moscow,Magistracy,1,No,Finance,Financial Analyst
109465,132000.0,male,48,Moscow,Collage,15,No,IT,Junior Software Engineer
240275,132000.0,male,39,Moscow,Bachelor,4,No,Finance,Financial Analyst
821829,184080.0,female,36,Moscow,Specialist,4,No,Operations,Process Analyst
971311,199199.99999999997,male,18,Moscow,School,0,No,IT,Senior Software Engineer
800196,48360.00000000001,male,30,Ufa,Collage,6,No,Marketing,Marketing Assistant
228675,203520.0,female,47,Moscow,Bachelor,13,No,Finance,Senior Accountant
529489,190080.0,female,29,Moscow,School,4,No,Finance,Senior Accountant
647570,188760.0,male,41,Moscow,Magistracy,8,No,Operations,Process Analyst
679487,86580.0,female,26,Moscow,Bachelor,1,Yes,Marketing,Marketing Assistant
651091,149760.0,female,37,Ufa,Magistracy,1,No,Marketing,Marketing Manager
495096,199920.0,male,42,Moscow,School,21,No,HR,Senior HR Manager
115950,142080.00000000003,male,29,Ufa,Magistracy,1,No,Finance,Senior Accountant
127671,81600.0,male,37,Kazan,Bachelor,1,No,HR,HR Specialist
748533,59322.79386712095,female,43,Saint-Petersburg,Collage,0,No,Operations,Operations Coordinator
622638,127200.0,male,29,Moscow,Magistracy,2,No,Marketing,Digital Marketing Specialist
485630,202236.79727427597,male,34,Saint-Petersburg,Magistracy,0,Yes,IT,Senior Software Engineer
977683,100319.99999999999,female,53,Kazan,Postgraduate,4,No,Finance,Financial Analyst
925018,56680.00000000001,female,49,Nizhniy Novgorod,Collage,11,No,Marketing,Marketing Assistant
828867,49440.00000000001,female,39,Novosibirsk,Collage,14,Yes,HR,HR Assistant
457415,84320.0,male,39,Ufa,Bachelor,16,Yes,Finance,Accountant
658981,115360.00000000001,female,32,Chelyabinsk,School,7,No,HR,Senior HR Manager
995160,174400.00000000003,male,47,Kazan,Bachelor,0,No,IT,Senior Software Engineer
812507,80640.0,female,29,Moscow,Collage,0,Yes,Operations,Operations Coordinator
838184,87200.00000000001,male,37,Ekaterinburg,School,13,Yes,HR,HR Specialist
711915,125399.99999999999,male,36,Moscow,Collage,1,Yes,Finance,Financial Analyst
742413,136800.0,male,37,Moscow,Magistracy,1,Yes,HR,HR Specialist
577956,124320.00000000001,male,31,Novosibirsk,Specialist,3,Yes,HR,Senior HR Manager
556070,75600.0,male,43,Moscow,Collage,9,No,HR,HR Assistant
350366,211680.0,female,48,Moscow,Magistracy,9,No,HR,Senior HR Manager
438814,128039.99999999999,male,35,Moscow,Collage,0,No,Finance,Financial Analyst
445627,160441.19250425894,female,31,Saint-Petersburg,Collage,10,No,Operations,Operations Manager
522261,102960.0,female,43,Ufa,Specialist,9,No,Finance,Financial Analyst
418798,100880.0,male,38,Ekaterinburg,School,10,No,Operations,Process Analyst
244378,243840.0,male,49,Moscow,School,27,No,IT,Middle Software Engineer
123021,142800.0,female,36,Moscow,Magistracy,5,No,HR,HR Specialist
601595,66640.0,male,25,Ekaterinburg,School,6,No,Finance,Accountant
885486,71457.00170357751,male,30,Saint-Petersburg,Bachelor,6,Yes,IT,Support Specialist
164128,173160.0,male,44,Moscow,School,26,Yes,Operations,Process Analyst
773693,81600.0,female,41,Ufa,Specialist,3,No,Marketing,Digital Marketing Specialist
823195,84000.0,male,29,Moscow,Specialist,5,No,IT,Support Specialist
975472,99120.0,male,52,Moscow,School,22,No,IT,Support Specialist
248653,78120.0,male,44,Moscow,School,0,No,IT,Support Specialist
669608,88000.0,female,35,Krasnodar,School,11,Yes,Finance,Financial Analyst
510929,158400.0,female,32,Ekaterinburg,School,5,No,IT,Senior Software Engineer
201514,69434.63373083474,male,35,Saint-Petersburg,Bachelor,12,Yes,IT,Support Specialist
590413,110748.72231686542,female,42,Saint-Petersburg,Collage,19,Yes,Marketing,Digital Marketing Specialist
801083,81600.0,male,42,Ekaterinburg,Bachelor,12,No,Marketing,Digital Marketing Specialist
489972,105933.5604770017,male,26,Saint-Petersburg,Collage,2,No,Finance,Financial Analyst
956389,69360.0,female,30,Chelyabinsk,Bachelor,3,No,Finance,Accountant
697011,94860.00000000001,female,43,Moscow,School,3,Yes,Finance,Accountant
162512,158400.0,female,54,Moscow,Collage,18,No,Finance,Financial Analyst
605199,115199.99999999999,male,48,Moscow,Collage,6,No,Marketing,Digital Marketing Specialist
984685,249600.0,male,47,Moscow,Postgraduate,6,No,IT,Middle Software Engineer
925448,135600.0,female,48,Moscow,Magistracy,1,Yes,Marketing,Digital Marketing Specialist
525819,147200.00000000003,male,40,Nizhniy Novgorod,Collage,2,No,IT,Senior Software Engineer
860075,85680.0,male,39,Moscow,School,18,No,IT,Support Specialist
157811,69482.7853492334,male,52,Saint-Petersburg,School,15,No,Marketing,Marketing Assistant
334650,88000.0,male,20,Krasnodar,School,0,Yes,Finance,Financial Analyst
373422,80960.00000000001,female,40,Ekaterinburg,Collage,1,No,IT,Junior Software Engineer
271893,223423.50936967626,female,48,Saint-Petersburg,Bachelor,23,No,IT,Senior Software Engineer
197243,184902.21465076657,male,48,Saint-Petersburg,Magistracy,16,No,IT,Middle Software Engineer
261236,102080.0,female,29,Chelyabinsk,Magistracy,2,No,Finance,Financial Analyst
988490,139520.00000000003,female,44,Novosibirsk,Collage,8,No,IT,Middle Software Engineer
908889,58240.00000000001,female,39,Chelyabinsk,Collage,15,No,IT,Support Specialist
877814,243840.0,male,50,Moscow,Postgraduate,13,Yes,Finance,Senior Accountant
692838,107520.0,female,50,Moscow,Bachelor,22,No,IT,Support Specialist
885468,76320.0,female,38,Moscow,Collage,9,No,HR,HR Assistant
792104,108822.65758091991,male,45,Saint-Petersburg,Bachelor,6,No,Marketing,Digital Marketing Specialist
135990,47040.0,male,30,Ekaterinburg,School,2,No,IT,Support Specialist
857961,89600.00000000001,female,24,Ufa,Specialist,1,No,Marketing,Digital Marketing Specialist
760711,156160.0,male,28,Ekaterinburg,Magistracy,2,No,IT,Middle Software Engineer
502831,56560.0,male,47,Nizhniy Novgorod,Bachelor,5,No,Operations,Operations Coordinator
793770,139520.00000000003,female,46,Ekaterinburg,Collage,6,No,IT,Middle Software Engineer
543561,180479.99999999997,female,26,Moscow,Bachelor,4,No,IT,Middle Software Engineer
710540,88400.0,male,61,Ufa,School,1,No,Operations,Process Analyst
426518,71680.0,male,48,Krasnoyarsk,Collage,28,Yes,IT,Support Specialist
300525,139520.00000000003,male,38,Ufa,Collage,12,Yes,Finance,Senior Accountant
210032,234240.0,female,46,Moscow,Magistracy,17,No,Finance,Senior Accountant
605253,276000.0,female,44,Moscow,Bachelor,7,No,IT,Senior Software Engineer
759889,216959.99999999997,male,36,Moscow,Magistracy,8,No,Marketing,Marketing Manager
734769,114240.00000000001,female,30,Kazan,Collage,8,Yes,HR,Senior HR Manager
193738,143880.0,male,36,Moscow,Magistracy,2,No,Finance,Financial Analyst
288115,144000.0,male,34,Moscow,Magistracy,4,Yes,Marketing,Digital Marketing Specialist
102773,130680.0,male,50,Moscow,Collage,9,No,IT,Junior Software Engineer
924287,68182.69165247018,male,53,Saint-Petersburg,Collage,14,No,HR,HR Assistant
179766,152255.41737649063,female,34,Saint-Petersburg,Bachelor,1,Yes,Operations,Operations Manager
745335,159120.0,male,57,Chelyabinsk,School,18,No,Operations,Operations Manager
291394,168000.00000000003,male,40,Krasnoyarsk,School,22,Yes,IT,Senior Software Engineer
131779,84000.0,female,31,Moscow,Collage,9,No,Operations,Operations Coordinator
895951,70040.0,female,38,Ekaterinburg,Bachelor,9,No,Finance,Accountant
747498,134400.0,male,20,Novosibirsk,Collage,0,No,IT,Middle Software Engineer
226617,149462.62350936967,female,30,Saint-Petersburg,School,3,No,Marketing,Marketing Manager
650517,133620.0,male,55,Moscow,School,32,No,Finance,Accountant
589391,83460.0,male,35,Moscow,Collage,11,No,Marketing,Marketing Assistant
612569,155626.03066439522,female,41,Saint-Petersburg,Collage,14,No,Finance,Senior Accountant
671885,194147.32538330494,male,36,Saint-Petersburg,Postgraduate,8,No,Marketing,Marketing Manager
176707,88800.00000000001,male,46,Chelyabinsk,Collage,18,Yes,Marketing,Digital Marketing Specialist
110149,279480.0,male,54,Moscow,Magistracy,28,No,Operations,Operations Manager
713552,74490.55366269164,male,39,Saint-Petersburg,Bachelor,12,No,Marketing,Marketing Assistant
681490,135720.0,male,25,Moscow,Collage,1,Yes,Operations,Process Analyst
180621,87360.0,female,55,Moscow,Collage,0,No,IT,Support Specialist
977964,283200.0,male,34,Moscow,Bachelor,11,Yes,IT,Senior Software Engineer
564760,61200.00000000001,male,36,Chelyabinsk,Collage,1,No,Finance,Accountant
532944,71400.0,female,34,Moscow,School,4,Yes,IT,Support Specialist
111771,144000.0,female,48,Moscow,School,25,Yes,Marketing,Digital Marketing Specialist
960227,78959.99999999999,female,18,Moscow,School,0,No,IT,Support Specialist
401705,167952.84497444634,male,35,Saint-Petersburg,Magistracy,5,No,Marketing,Marketing Manager
192935,74120.00000000001,female,32,Ufa,Specialist,0,No,Finance,Accountant
921428,47520.0,male,34,Chelyabinsk,Collage,8,No,HR,HR Assistant
576955,109111.56729131175,male,42,Saint-Petersburg,Bachelor,6,No,Finance,Financial Analyst
249751,338400.0,male,64,Moscow,Specialist,36,No,IT,Senior Software Engineer
697320,151040.0,male,36,Novosibirsk,Magistracy,3,No,IT,Middle Software Engineer
163419,74120.00000000001,female,35,Novosibirsk,Bachelor,10,No,Finance,Accountant
982804,77760.0,male,47,Moscow,School,16,No,HR,HR Assistant
323608,129360.0,male,22,Moscow,Bachelor,0,Yes,IT,Junior Software Engineer
531046,99200.0,male,33,Nizhniy Novgorod,Magistracy,6,No,HR,HR Specialist
306228,112200.0,male,42,Moscow,School,3,No,Finance,Financial Analyst
177905,222719.99999999997,female,40,Moscow,Collage,17,No,IT,Middle Software Engineer
305854,85709.8807495741,male,29,Saint-Petersburg,Collage,4,No,HR,HR Specialist
198536,267722.9982964225,male,54,Saint-Petersburg,Specialist,25,Yes,IT,Senior Software Engineer
548246,84000.0,female,22,Moscow,School,2,No,IT,Support Specialist
763024,82320.0,female,31,Moscow,Collage,2,Yes,Operations,Operations Coordinator
243852,67320.0,male,34,Chelyabinsk,Collage,8,Yes,Finance,Accountant
916008,92000.0,male,36,Krasnoyarsk,Magistracy,9,No,Marketing,Digital Marketing Specialist
455951,163800.0,male,40,Moscow,Bachelor,13,No,Operations,Process Analyst
994262,118800.00000000001,male,38,Moscow,School,9,Yes,IT,Junior Software Engineer
335984,96800.0,male,34,Kazan,Magistracy,1,No,HR,HR Specialist
275458,97919.99999999999,female,37,Moscow,School,8,No,Finance,Accountant
464020,81900.0,male,49,Moscow,Collage,0,Yes,Marketing,Marketing Assistant
250310,234979.89778534923,male,48,Saint-Petersburg,Bachelor,16,No,IT,Senior Software Engineer
634612,104800.0,female,45,Ekaterinburg,Bachelor,21,No,HR,HR Specialist
807883,167040.0,female,33,Moscow,School,1,No,Finance,Senior Accountant
210419,138240.00000000003,male,45,Chelyabinsk,Bachelor,13,No,IT,Middle Software Engineer
882565,133320.0,female,55,Moscow,Specialist,1,No,IT,Junior Software Engineer
335314,118645.5877342419,female,40,Saint-Petersburg,School,21,Yes,IT,Junior Software Engineer
148500,85680.0,male,43,Moscow,Collage,0,No,Operations,Operations Coordinator
656058,202640.0,male,55,Kazan,Magistracy,29,Yes,Operations,Operations Manager
757750,116526.91652470187,male,29,Saint-Petersburg,Magistracy,4,No,Marketing,Digital Marketing Specialist
724587,147200.0,female,52,Krasnoyarsk,School,31,No,Marketing,Marketing Manager
280634,161280.0,female,47,Krasnoyarsk,Magistracy,6,No,Finance,Senior Accountant
898401,255360.0,female,40,Moscow,Magistracy,15,No,Marketing,Marketing Manager
174975,55952.18057921635,female,49,Saint-Petersburg,School,2,No,Operations,Operations Coordinator
822694,155626.03066439522,male,28,Saint-Petersburg,Magistracy,0,Yes,IT,Middle Software Engineer
302913,118800.0,male,27,Moscow,Collage,6,Yes,Marketing,Digital Marketing Specialist
929143,78480.0,female,41,Moscow,Collage,11,No,HR,HR Assistant
315287,163800.0,female,35,Moscow,School,17,Yes,Operations,Process Analyst
394464,95200.0,male,64,Novosibirsk,Bachelor,21,No,HR,HR Specialist
963800,283200.0,female,40,Moscow,Collage,14,No,IT,Senior Software Engineer
265613,104040.0,female,47,Moscow,Collage,5,No,Finance,Accountant
573887,85800.0,male,32,Moscow,Specialist,4,No,Marketing,Marketing Assistant
283246,82680.0,male,40,Moscow,Collage,4,No,Marketing,Marketing Assistant
119349,101400.0,male,48,Moscow,Bachelor,21,No,Marketing,Marketing Assistant
329282,154440.0,male,50,Moscow,School,14,No,Operations,Process Analyst
331623,149760.0,female,44,Chelyabinsk,Magistracy,9,No,IT,Middle Software Engineer
235679,89760.0,male,24,Krasnoyarsk,Collage,4,No,Finance,Financial Analyst
234121,125840.0,male,41,Novosibirsk,Bachelor,12,Yes,Operations,Process Analyst
195323,141240.0,male,62,Moscow,School,22,No,IT,Junior Software Engineer
507368,70108.75638841567,female,46,Saint-Petersburg,Collage,13,Yes,Marketing,Marketing Assistant
214817,103044.46337308349,male,53,Saint-Petersburg,Bachelor,1,Yes,HR,HR Specialist
470757,175175.5877342419,female,31,Saint-Petersburg,Collage,6,Yes,Operations,Operations Manager
356213,108239.99999999999,male,41,Moscow,School,1,No,IT,Junior Software Engineer
713245,102000.0,female,45,Moscow,Collage,0,No,Marketing,Digital Marketing Specialist
934261,72760.00000000001,female,34,Krasnodar,Bachelor,4,No,Finance,Accountant
292830,170040.0,female,33,Moscow,Magistracy,2,No,Operations,Process Analyst
181046,82080.0,female,34,Moscow,Bachelor,9,No,HR,HR Assistant
793680,83600.0,male,29,Krasnoyarsk,Collage,4,No,IT,Junior Software Engineer
565828,130680.0,male,30,Moscow,Bachelor,1,No,IT,Junior Software Engineer
527289,147600.0,male,52,Moscow,Collage,24,No,Marketing,Digital Marketing Specialist
498464,91560.0,male,28,Moscow,Collage,7,No,IT,Support Specialist
869273,120320.0,female,46,Krasnodar,Bachelor,0,Yes,Finance,Senior Accountant
375156,168960.0,male,64,Moscow,Collage,3,Yes,IT,Middle Software Engineer
828398,122880.0,male,27,Ekaterinburg,School,5,No,IT,Middle Software Engineer
513723,107100.0,male,40,Moscow,Specialist,0,Yes,Finance,Accountant
978293,56560.0,male,36,Chelyabinsk,Collage,14,No,IT,Support Specialist
653092,67320.0,male,43,Ekaterinburg,School,19,Yes,Finance,Accountant
489066,234979.89778534923,female,42,Saint-Petersburg,Specialist,15,No,IT,Senior Software Engineer
893185,295200.0,female,50,Moscow,Magistracy,7,No,IT,Senior Software Engineer
538721,106800.0,male,47,Moscow,School,4,No,Marketing,Digital Marketing Specialist
233252,92400.0,female,43,Moscow,Bachelor,8,No,Operations,Operations Coordinator
939841,182399.99999999997,female,44,Moscow,School,12,No,IT,Middle Software Engineer
243524,218879.99999999997,female,39,Moscow,Collage,17,No,IT,Middle Software Engineer
177014,178738.80749574103,male,35,Saint-Petersburg,Collage,11,Yes,Marketing,Marketing Manager
754558,80640.0,male,33,Moscow,Collage,7,No,Operations,Operations Coordinator
924820,51840.00000000001,male,38,Nizhniy Novgorod,Collage,16,No,HR,HR Assistant
204981,161280.0,female,44,Moscow,School,0,No,IT,Middle Software Engineer
970658,81480.0,male,25,Moscow,School,6,Yes,IT,Support Specialist
235521,163200.0,male,37,Krasnoyarsk,Collage,3,No,IT,Senior Software Engineer
750657,85680.0,female,44,Moscow,Bachelor,8,No,IT,Support Specialist
132964,79800.0,male,50,Moscow,Bachelor,5,No,Operations,Operations Coordinator
194585,108000.0,male,24,Moscow,Bachelor,0,No,HR,HR Specialist
545235,81600.0,female,56,Kazan,Bachelor,10,No,Finance,Accountant
698867,160248.5860306644,male,33,Saint-Petersburg,Magistracy,4,No,IT,Middle Software Engineer
